first_author,year,full_entry
Aftab,2021,"Aftab, A., Khan, R., Shah, W., Azhar, M., Unar, A., Jafar Hussain, H.M. and Waqas, A. (2021). Computational analysis of Cyclin D1 gene SNPs and association with breast cancer. Bioscience Reports, 41(1), p.BSR20202269."
Aftimos,2021,"Aftimos, P., Oliveira, M., Irrthum, A., Fumagalli, D., Sotiriou, C., Gal-Yam, E.N., Robson, M.E., Ndozeng, J., Di Leo, A., Ciruelos, E.M. and De Azambuja, E. (2021). Genomic and Transcriptomic Analyses of Breast Cancer Primaries and Matched Metastases in AURORA, the Breast International Group (BIG) Molecular Screening InitiativeGenomics and Transcriptomics of Metastatic Breast Cancer. Cancer discovery, 11(11), pp.2796-2811."
Afzal,2022,"Afzal, S., Hassan, M., Ullah, S., Abbas, H., Tawakkal, F. and Khan, M.A. (2022). Breast cancer; discovery of novel diagnostic biomarkers, drug resistance, and therapeutic implications. Frontiers in molecular biosciences, 9, p.783450."
Aguilera,2012,"Aguilera, A. and García-Muse, T. (2012). R loops: from transcription byproducts to threats to genome stability. Molecular cell, 46(2), pp.115-124."
Ahmad,2023,"Ahmad, T., Kawasumi, R., Taniguchi, T., Abe, T., Terada, K., Tsuda, M., Shimizu, N., Tsurimoto, T., Takeda, S. and Hirota, K. (2023). The proofreading exonuclease of leading-strand DNA polymerase epsilon prevents replication fork collapse at broken template strands. Nucleic Acids Research, 51(22), pp.12288-12302."
Aktas,2019,"Aktas, B.Y., Guner, G., Guven, D.C., Arslan, C. and Dizdar, O. (2019). Exploiting DNA repair defects in breast cancer: from chemotherapy to immunotherapy. Expert review of anticancer therapy, 19(7), pp.589-601."
Ali,2023,"Ali, M., Khan, P., Mahmood, M., Han, J., Afzal, G., Qadeer, I., Azmal, S.A., El-Mouhty, N.R., Mahmoud, S.F., Jafri, I. and Ali, M. (2023). Positive Selection in Zinc Finger Protein Reveals Genetic Signatures of Adaptive Evolution in Undifferentiated Stem Cells during Evolution in Mammals. Journal of Zoological Systematics and Evolutionary Research, 2023(1), p.6693488."
Alkhateeb,2019,"Alkhateeb, A., Rezaeian, I., Singireddy, S., Cavallo-Medved, D., Porter, L.A. and Rueda, L. (2019). Transcriptomics signature from next-generation sequencing data reveals new transcriptomic biomarkers related to prostate cancer. Cancer informatics, 18, p.1176935119835522."
Allgöwer,2020,"Allgöwer, C., Kretz, A.L., von Karstedt, S., Wittau, M., Henne-Bruns, D. and Lemke, J. (2020). Friend or foe: S100 proteins in cancer. Cancers, 12(8), p.2037."
Amens,2021,"Amens, J.N., Bahçecioglu, G. and Zorlutuna, P. (2021). Immune system effects on breast cancer. Cellular and Molecular Bioengineering, 14(4), pp.279-292."
Anderson,2021,"Anderson, B.O., Ilbawi, A.M., Fidarova, E., Weiderpass, E., Stevens, L., Abdel-Wahab, M. and Mikkelsen, B. (2021). The Global Breast Cancer Initiative: a strategic collaboration to strengthen health care for non-communicable diseases. The Lancet Oncology, 22(5), pp.578-581."
Andersson,2020,"Andersson, R. and Sandelin, A. (2020). Determinants of enhancer and promoter activities of regulatory elements. Nature Reviews Genetics, 21(2), pp.71-87."
Arentson,2002,"Arentson, E., Faloon, P., Seo, J., Moon, E., Studts, J.M., Fremont, D.H. and Choi, K. (2002). Oncogenic potential of the DNA replication licensing protein CDT1. Oncogene, 21(8), pp.1150-1158."
Arlt,2009,"Arlt, M.F., Mulle, J.G., Schaibley, V.M., Ragland, R.L., Durkin, S.G., Warren, S.T. and Glover, T.W. (2009). Replication stress induces genome-wide copy number changes in human cells that resemble polymorphic and pathogenic variants. The American Journal of Human Genetics, 84(3), pp.339-350."
Arnoff,2021,"Arnoff, T.E. and El-Deiry, W.S. (2021). CDKN1A/p21WAF1, RB1, ARID1A, FLG, and HRNR mutation patterns provide insights into urinary tract environmental exposure carcinogenesis and potential treatment strategies. American Journal of Cancer Research, 11(11), p.5452."
Arumugam,2024,"Arumugam, T., Adimulam, T., Gokul, A. and Ramsuran, V. (2024). Variation within the non-coding genome influences genetic and epigenetic regulation of the human leukocyte antigen genes. Frontiers in Immunology, 15, p.1422834."
Assis,2022,"Assis, A.F., Oliveira, E.H., Donate, P.B., Giuliatti, S., Nguyen, C. and Passos, G.A. (2022). What is the transcriptome and how it is evaluated. In Transcriptomics in health and disease (pp. 3-50). Cham: Springer International Publishing."
Attalla,2021,"Attalla, S., Taifour, T., Bui, T. and Muller, W. (2021). Insights from transgenic mouse models of PyMT-induced breast cancer: recapitulating human breast cancer progression in vivo. Oncogene, 40(3), pp.475-491."
Avci,2025,"Avci, C.B., Bagca, B.G., Shademan, B., Takanlou, L.S., Takanlou, M.S. and Nourazarian, A. (2025). Precision oncology: Using cancer genomics for targeted therapy advancements. Biochimica et Biophysica Acta (BBA)-Reviews on Cancer, 1880(1), p.189250."
Avis,2008,"Avis, N.E. and Deimling, G.T. (2008). Cancer survivorship and aging. Cancer: interdisciplinary international journal of the american cancer society, 113(S12), pp.3519-3529."
Azimian,2022,"Azimian Zavareh, V., Rafiee, L., Sheikholeslam, M., Shariati, L., Vaseghi, G., Savoji, H. and Haghjooy Javanmard, S. (2022). Three-Dimensional in Vitro Models: A Promising Tool To Scale-Up Breast Cancer Research. ACS Biomaterials Science & Engineering, 8(11), pp.4648-4672."
Baan,2007,"Baan, R., Straif, K., Grosse, Y., Secretan, B., El Ghissassi, F., Bouvard, V., Altieri, A. and Cogliano, V. (2007). Carcinogenicity of alcoholic beverages. The lancet oncology, 8(4), pp.292-293."
Balloux,2018,"Balloux, F., Brynildsrud, O.B., Van Dorp, L., Shaw, L.P., Chen, H., Harris, K.A., Wang, H. and Eldholm, V. (2018). From theory to practice: translating whole-genome sequencing (WGS) into the clinic. Trends in microbiology, 26(12), pp.1035-1048."
Balzano,2022,"Balzano, E. (2022). Common Fragile Sites: a new tool to study chromosome instability diseases."
Barlow,2013,"Barlow, J.H., Faryabi, R.B., Callén, E., Wong, N., Malhowski, A., Chen, H.T., Gutierrez-Cruz, G., Sun, H.W., McKinnon, P., Wright, G. and Casellas, R. (2013). Identification of early replicating fragile sites that contribute to genome instability. Cell, 152(3), pp.620-632."
Barrangou,2013,"Barrangou, R. and Van Der Oost, J. (2013). CRISPR-Cas systems. RNA-Mediated Adaptative Immunity in Bacteria and Archaea. 1010079783642346576th ed. Heidelberg SVB, editor."
Barrett,2014,"Barrett, K.E., Keely, S.J. and Mrsny, R.J. (2014). CFTR and cancer: The role of ion channels in tumorigenesis. Physiology, 29(4), pp.264-275."
Barta,2019,"Barta, J.A., Powell, C.A. and Wisnivesky, J.P. (2019). Global epidemiology of lung cancer. Annals of global health, 85(1)."
Bartek,2003,"Bartek, J. and Lukas, J. (2003). Chk1 and Chk2 kinases in checkpoint control and cancer. Cancer cell, 3(5), pp.421-429."
Bartkova,2005,"Bartkova, J., Hořejší, Z., Koed, K., Krämer, A., Tort, F., Zieger, K., Guldberg, P., Sehested, M., Nesland, J.M., Lukas, C. and Ørntoft, T. (2005). DNA damage response as a candidate anti-cancer barrier in early human tumorigenesis. Nature, 434(7035), pp.864-870."
Bartkova,2006,"Bartkova, J., Rezaei, N., Liontos, M., Karakaidos, P., Kletsas, D., Issaeva, N., Vassiliou, L.V.F., Kolettas, E., Niforou, K., Zoumpourlis, V.C. and Takaoka, M. (2006). Oncogene-induced senescence is part of the tumorigenesis barrier imposed by DNA damage checkpoints. Nature, 444(7119), pp.633-637."
Basham,2001,"Basham, V.M., Lipscombe, J.M., Ward, J.M., Gayther, S.A., Ponder, B.A., Easton, D.F. and Pharoah, P.D. (2001). BRCA1 and BRCA2 mutations in a population-based study of male breast cancer. Breast Cancer Research, 4, pp.1-5."
Bax,1994,"Bax, A. (1994). Multidimensional nuclear magnetic resonance methods for protein studies. Current Opinion in Structural Biology, 4(5), pp.738-744."
Bednarek,2000,"Bednarek, A.K., Laflin, K.J., Daniel, R.L., Liao, Q., Hawkins, K.A. and Aldaz, C.M. (2000). WWOX, a novel WW domain-containing protein mapping to human chromosome 16q23. 3–24.1, a region frequently affected in breast cancer. Cancer research, 60(8), pp.2140-2145."
Bell,2006,"Bell, S.E., Sanchez, M.J., Spasic‐Boskovic, O., Santalucia, T., Gambardella, L., Burton, G.J., Murphy, J.J., Norton, J.D., Clark, A.R. and Turner, M. (2006). The RNA binding protein Zfp36l1 is required for normal vascularisation and post‐transcriptionally regulates VEGF expression. Developmental dynamics, 235(11), pp.3144-3155."
Berner,2019,"Berner, A.M., Morrissey, G.J. and Murugaesu, N. (2019). Clinical analysis of whole genome sequencing in cancer patients. Current Genetic Medicine Reports, 7, pp.136-143."
Beroukhim,2010,"Beroukhim, R., Mermel, C.H., Porter, D., Wei, G., Raychaudhuri, S., Donovan, J., Barretina, J., Boehm, J.S., Dobson, J., Urashima, M. and Mc Henry, K.T. (2010). The landscape of somatic copy-number alteration across human cancers. Nature, 463(7283), pp.899-905."
Beyaz,2022,"Beyaz, S., Aslan, A., Gok, O., Uslu, H., Agca, C.A. and Ozercan, I.H. (2022). In vivo, in vitro and in silico anticancer investigation of fullerene C60 on DMBA induced breast cancer in rats. Life sciences, 291, p.120281."
Bhardwaj,2019,"Bhardwaj, P., Au, C.C., Benito-Martin, A., Ladumor, H., Oshchepkova, S., Moges, R. and Brown, K.A., (2019). Estrogens and breast cancer: Mechanisms involved in obesity-related development, growth and progression. The Journal of steroid biochemistry and molecular biology, 189, pp.161-170."
Bignell,2010,"Bignell, G.R., Greenman, C.D., Davies, H., Butler, A.P., Edkins, S., Andrews, J.M., Buck, G., Chen, L., Beare, D., Latimer, C. and Widaa, S. (2010). Signatures of mutation and selection in the cancer genome. Nature, 463(7283), pp.893-898."
Bilousova,2005,"Bilousova, G., Marusyk, A., Porter, C.C., Cardiff, R.D. and DeGregori, J. (2005). Impaired DNA replication within progenitor cell pools promotes leukemogenesis. PLoS biology, 3(12), p.e401."
Bitomsky,2009,"Bitomsky, N. and Hofmann, T.G. (2009). Apoptosis and autophagy: Regulation of apoptosis by DNA damage signalling–roles of p53, p73 and HIPK2. The FEBS journal, 276(21), pp.6074-6083."
Blin,2019,"Blin, M., Le Tallec, B., Nähse, V., Schmidt, M., Brossas, C., Millot, G.A., Prioleau, M.N. and Debatisse, M. (2019). Transcription-dependent regulation of replication dynamics modulates genome stability. Nature structural & molecular biology, 26(1), pp.58-66."
Bochman,2012,"Bochman, M.L., Paeschke, K. and Zakian, V.A. (2012) DNA secondary structures: stability and function of G-quadruplex structures. Nature Reviews Genetics, 13(11), pp.770-780."
Boland,2013,"Boland, M.L., Chourasia, A.H. and Macleod, K.F. (2013). Mitochondrial dysfunction in cancer. Frontiers in oncology, 3, p.292."
Bolotin,2005,"Bolotin, A., Quinquis, B., Sorokin, A. and Ehrlich, S.D. (2005) Clustered regularly interspaced short palindrome repeats (CRISPRs) have spacers of extrachromosomal origin. Microbiology, 151(8), pp.2551-2561."
Bortner,2014,"Bortner, C.D. and Cidlowski, J.A. (2014). Ion channels and apoptosis in cancer. Philosophical Transactions of the Royal Society B: Biological Sciences, 369(1638), p.20130104."
Bourges,2004,"Bourges, I., Ramus, C., Mousson de camaret, B., Beugnot, R., Remacle, C., Cardol, P., Hofhaus, G. and Issartel, J.P. (2004). Structural organization of mitochondrial human complex I: role of the ND4 and ND5 mitochondria-encoded subunits and interaction with prohibitin. Biochemical Journal, 383(3), pp.491-499."
Boussouar,2010,"Boussouar, A. and Oberlé, S. (2010). Role of osteopetrosis-associated transmembrane protein (OSTM1) in lysosomal chloride regulation. Bone, 47(5), pp.873-882."
Bray,2018,"Bray, F., Ferlay, J., Soerjomataram, I., Siegel, R.L., Torre, L.A. and Jemal, A. (2018). Global cancer statistics 2018: GLOBOCAN estimates of incidence and mortality worldwide for 36 cancers in 185 countries. CA: a cancer journal for clinicians, 68(6), pp.394-424."
Bray,2012,"Bray, F., Jemal, A., Grey, N., Ferlay, J. and Forman, D. (2012). Global cancer transitions according to the Human Development Index (2008–2030): a population-based study. The lancet oncology, 13(8), pp.790-801."
Brecht,2015,"Brecht, M., Richardson, M., Taranath, A., Grist, S., Thorburn, D. and Bratkovic, D. (2015). Leigh syndrome caused by the MT-ND5 m. 13513G> A mutation: a case presenting with WPW-like conduction defect, cardiomyopathy, hypertension and hyponatraemia. JIMD Reports, Volume 19, pp.95-100."
Britt,2020,"Britt, K.L., Cuzick, J. and Phillips, K.A. (2020). Key steps for effective breast cancer prevention. Nature Reviews Cancer, 20(8), pp.417-436."
Briu,2021,"Briu, L.M., Maric, C. and Cadoret, J.C. (2021). Replication stress, genomic instability, and replication timing: A complex relationship. International Journal of Molecular Sciences, 22(9), p.4764."
Brix,2021,"Brix, N., Samaga, D., Belka, C., Zitzelsberger, H. and Lauber, K. (2021). Analysis of clonogenic growth in vitro. Nature protocols, 16(11), pp.4963-4991."
