Sample,Rank,Gene,flag,n_cfs,CFS_regions
WT-U,1,DHRSX,PAR_artefact,0,
WT-U,2,OR9G1,,0,
WT-U,3,CSMD1,,0,
WT-U,4,PTPRN2,,1,FRA7I
WT-U,5,RBFOX1,,0,
WT-U,6,DLGAP2,,0,
WT-U,7,CNTNAP3B,,0,
WT-U,8,HLA-DRB5,HLA_locus,1,FRA6H
WT-U,9,CNTNAP2,,1,FRA7I
WT-U,10,MACROD2,,0,
WT-U,11,LRP1B,,1,FRA2S
WT-U,12,PTPRD,,0,
WT-U,13,PDE4D,,1,FRA5H
WT-U,14,PCDH15,,1,FRA10C
WT-U,15,WWOX,,1,FRA16D
WT-U,16,PRKN,,1,FRA6E
WT-U,17,DPP10,,1,FRA2S
WT-U,18,MAGI2,,0,
WT-U,19,P2RY8,PAR_artefact,0,
WT-U,20,SLC2A14,,0,
WT-U,21,LRRC4C,,0,
WT-U,22,CDH13,,0,
WT-U,23,CTNNA3,,1,FRA10C
WT-U,24,EYS,,0,
WT-U,25,ROBO2,,0,
WT-U,26,NRXN3,,0,
WT-U,27,FHIT,,1,FRA3B
WT-U,28,PRKG1,,1,FRA10G
WT-U,29,DLG2,,1,FRA11F
WT-U,30,DPP6,,1,FRA7I
WT-A,1,DHRSX,PAR_artefact,0,
WT-A,2,OR9G1,,0,
WT-A,3,CSMD1,,0,
WT-A,4,PTPRN2,,1,FRA7I
WT-A,5,RBFOX1,,0,
WT-A,6,CNTNAP3B,,0,
WT-A,7,HLA-DRB5,HLA_locus,1,FRA6H
WT-A,8,DLGAP2,,0,
WT-A,9,CNTNAP2,,1,FRA7I
WT-A,10,MACROD2,,0,
WT-A,11,LRP1B,,1,FRA2S
WT-A,12,PTPRD,,0,
WT-A,13,PDE4D,,1,FRA5H
WT-A,14,WWOX,,1,FRA16D
WT-A,15,PCDH15,,1,FRA10C
WT-A,16,DLG2,,1,FRA11F
WT-A,17,LRRC4C,,0,
WT-A,18,DPP10,,1,FRA2S
WT-A,19,MAGI2,,0,
WT-A,20,P2RY8,PAR_artefact,0,
WT-A,21,SLC2A14,,0,
WT-A,22,CDH13,,0,
WT-A,23,NRXN3,,0,
WT-A,24,PRKN,,1,FRA6E
WT-A,25,FHIT,,1,FRA3B
WT-A,26,CTNNA3,,1,FRA10C
WT-A,27,EYS,,0,
WT-A,28,ROBO2,,0,
WT-A,29,ASMTL,PAR_artefact,0,
WT-A,30,DCC,,0,
G3-U,1,DHRSX,PAR_artefact,0,
G3-U,2,CSMD1,,0,
G3-U,3,PTPRN2,,1,FRA7I
G3-U,4,OR9G1,,0,
G3-U,5,HLA-DRB5,HLA_locus,1,FRA6H
G3-U,6,CNTNAP3B,,0,
G3-U,7,RBFOX1,,0,
G3-U,8,DLGAP2,,0,
G3-U,9,CNTNAP2,,1,FRA7I
G3-U,10,MACROD2,,0,
G3-U,11,LRP1B,,1,FRA2S
G3-U,12,FHIT,,1,FRA3B
G3-U,13,PTPRD,,0,
G3-U,14,PCDH15,,1,FRA10C
G3-U,15,PDE4D,,1,FRA5H
G3-U,16,ROBO2,,0,
G3-U,17,NRXN3,,0,
G3-U,18,WWOX,,1,FRA16D
G3-U,19,MAGI2,,0,
G3-U,20,DLG2,,1,FRA11F
G3-U,21,P2RY8,PAR_artefact,0,
G3-U,22,DPP10,,1,FRA2S
G3-U,23,EYS,,0,
G3-U,24,PRKN,,1,FRA6E
G3-U,25,LRRC4C,,0,
G3-U,26,PRKG1,,1,FRA10G
G3-U,27,CTNNA3,,1,FRA10C
G3-U,28,MAFIP,,0,
G3-U,29,RYR2,,0,
G3-U,30,CDH13,,0,
G3-A,1,DHRSX,PAR_artefact,0,
G3-A,2,OR9G1,,0,
G3-A,3,CSMD1,,0,
G3-A,4,PTPRN2,,1,FRA7I
G3-A,5,RBFOX1,,0,
G3-A,6,CNTNAP3B,,0,
G3-A,7,HLA-DRB5,HLA_locus,1,FRA6H
G3-A,8,DLGAP2,,0,
G3-A,9,MACROD2,,0,
G3-A,10,CNTNAP2,,1,FRA7I
G3-A,11,LRP1B,,1,FRA2S
G3-A,12,PTPRD,,0,
G3-A,13,FHIT,,1,FRA3B
G3-A,14,ROBO2,,0,
G3-A,15,PDE4D,,1,FRA5H
G3-A,16,PRKN,,1,FRA6E
G3-A,17,PCDH15,,1,FRA10C
G3-A,18,NRXN3,,0,
G3-A,19,DLG2,,1,FRA11F
G3-A,20,LRRC4C,,0,
G3-A,21,WWOX,,1,FRA16D
G3-A,22,MAGI2,,0,
G3-A,23,P2RY8,PAR_artefact,0,
G3-A,24,EYS,,0,
G3-A,25,DPP10,,1,FRA2S
G3-A,26,PRKG1,,1,FRA10G
G3-A,27,CTNNA3,,1,FRA10C
G3-A,28,ASMTL,PAR_artefact,0,
G3-A,29,MAFIP,,0,
G3-A,30,RBFOX3,,0,
