Gene,flag,WT-U_rank,WT-A_rank,G3-U_rank,G3-A_rank,mean_WT_rank,mean_G3_rank,rank_delta
FHIT,,27,25,12,13,26.0,12.5,13.5
ROBO2,,25,28,16,14,26.5,15.0,11.5
NRXN3,,26,23,17,18,24.5,17.5,7.0
PRKG1,,28,>30,26,26,29.5,26.0,3.5
DLG2,,29,16,20,19,22.5,19.5,3.0
MAFIP,,>30,>30,28,29,31.0,28.5,2.5
EYS,,24,27,23,24,25.5,23.5,2.0
HLA-DRB5,HLA_locus,8,7,5,7,7.5,6.0,1.5
RYR2,,>30,>30,29,>30,31.0,30.0,1.0
ASMTL,PAR_artefact,>30,29,>30,28,30.0,29.5,0.5
RBFOX3,,>30,>30,>30,30,31.0,30.5,0.5
PTPRN2,,4,4,3,4,4.0,3.5,0.5
MACROD2,,10,10,10,9,10.0,9.5,0.5
CNTNAP3B,,7,6,6,6,6.5,6.0,0.5
CSMD1,,3,3,2,3,3.0,2.5,0.5
PRKN,,16,24,24,16,20.0,20.0,0.0
LRP1B,,11,11,11,11,11.0,11.0,0.0
DHRSX,PAR_artefact,1,1,1,1,1.0,1.0,0.0
DPP6,,30,>30,>30,>30,30.5,31.0,-0.5
CNTNAP2,,9,9,9,10,9.0,9.5,-0.5
PTPRD,,12,12,13,12,12.0,12.5,-0.5
DCC,,>30,30,>30,>30,30.5,31.0,-0.5
DLGAP2,,6,8,8,8,7.0,8.0,-1.0
OR9G1,,2,2,4,2,2.0,3.0,-1.0
RBFOX1,,5,5,7,5,5.0,6.0,-1.0
PCDH15,,14,15,14,17,14.5,15.5,-1.0
PDE4D,,13,13,15,15,13.0,15.0,-2.0
MAGI2,,18,19,19,22,18.5,20.5,-2.0
CTNNA3,,23,26,27,27,24.5,27.0,-2.5
P2RY8,PAR_artefact,19,20,21,23,19.5,22.0,-2.5
LRRC4C,,21,17,25,20,19.0,22.5,-3.5
WWOX,,15,14,18,21,14.5,19.5,-5.0
DPP10,,17,18,22,25,17.5,23.5,-6.0
CDH13,,22,22,30,>30,22.0,30.5,-8.5
SLC2A14,,20,21,>30,>30,20.5,31.0,-10.5
