Rank,Gene,WT-U_n,Gene,WT-A_n,Gene,G3-U_n,Gene,G3-A_n
1,DHRSX,826,DHRSX,818,DHRSX,841,DHRSX,833
2,OR9G1,674,OR9G1,676,CSMD1,633,OR9G1,621
3,CSMD1,592,CSMD1,614,PTPRN2,625,CSMD1,608
4,PTPRN2,573,PTPRN2,559,OR9G1,615,PTPRN2,550
5,RBFOX1,567,RBFOX1,546,HLA-DRB5,546,RBFOX1,525
6,DLGAP2,532,CNTNAP3B,524,CNTNAP3B,545,CNTNAP3B,523
7,CNTNAP3B,529,HLA-DRB5,518,RBFOX1,516,HLA-DRB5,514
8,HLA-DRB5,515,DLGAP2,459,DLGAP2,513,DLGAP2,473
9,CNTNAP2,455,CNTNAP2,443,CNTNAP2,453,MACROD2,450
10,MACROD2,434,MACROD2,420,MACROD2,434,CNTNAP2,442
