Gene,Sample,n_variants,Classification,Missense,Nonsense,Frameshift_Del,Frameshift_Ins,Splice_Site,In_Frame_Del,In_Frame_Ins,Nonstop,Multi_Hit
TAS2R43,WT-U,15,Multi_Hit,14,0,0,1,0,0,0,0,1
TAS2R43,WT-A,13,Multi_Hit,12,0,0,1,0,0,0,0,1
TAS2R43,G3-U,13,Multi_Hit,12,0,0,1,0,0,0,0,1
TAS2R43,G3-A,15,Multi_Hit,14,0,0,1,0,0,0,0,1
MUC3A,WT-U,16,Multi_Hit,15,0,0,0,0,1,0,0,1
MUC3A,WT-A,15,Multi_Hit,14,0,0,0,0,1,0,0,1
MUC3A,G3-U,5,Missense_Mutation,5,0,0,0,0,0,0,0,0
MUC3A,G3-A,6,Missense_Mutation,6,0,0,0,0,0,0,0,0
SLC25A5,WT-U,10,Multi_Hit,9,0,0,1,0,0,0,0,1
SLC25A5,WT-A,10,Multi_Hit,9,0,0,1,0,0,0,0,1
SLC25A5,G3-U,7,Missense_Mutation,7,0,0,0,0,0,0,0,0
SLC25A5,G3-A,7,Missense_Mutation,7,0,0,0,0,0,0,0,0
CCDC187,WT-U,8,Missense_Mutation,8,0,0,0,0,0,0,0,0
CCDC187,WT-A,8,Missense_Mutation,8,0,0,0,0,0,0,0,0
CCDC187,G3-U,8,Missense_Mutation,8,0,0,0,0,0,0,0,0
CCDC187,G3-A,8,Missense_Mutation,8,0,0,0,0,0,0,0,0
MUC4,WT-U,10,Multi_Hit,7,0,0,0,0,0,3,0,1
MUC4,WT-A,5,Multi_Hit,4,0,0,0,0,0,1,0,1
MUC4,G3-U,8,Multi_Hit,7,0,0,1,0,0,0,0,1
MUC4,G3-A,6,Missense_Mutation,6,0,0,0,0,0,0,0,0
ZNF717,WT-U,7,Multi_Hit,6,0,0,0,0,1,0,0,1
ZNF717,WT-A,7,Multi_Hit,6,0,0,0,0,1,0,0,1
ZNF717,G3-U,7,Multi_Hit,6,0,0,0,0,1,0,0,1
ZNF717,G3-A,7,Multi_Hit,6,0,0,0,0,1,0,0,1
FCGBP,WT-U,2,Missense_Mutation,2,0,0,0,0,0,0,0,0
FCGBP,WT-A,0,No_Mutation,0,0,0,0,0,0,0,0,0
FCGBP,G3-U,20,Multi_Hit,12,0,4,3,0,0,1,0,1
FCGBP,G3-A,1,Missense_Mutation,1,0,0,0,0,0,0,0,0
CNTNAP3B,WT-U,6,Missense_Mutation,6,0,0,0,0,0,0,0,0
CNTNAP3B,WT-A,3,Missense_Mutation,3,0,0,0,0,0,0,0,0
CNTNAP3B,G3-U,8,Missense_Mutation,8,0,0,0,0,0,0,0,0
CNTNAP3B,G3-A,4,Missense_Mutation,4,0,0,0,0,0,0,0,0
MUC5AC,WT-U,5,Missense_Mutation,5,0,0,0,0,0,0,0,0
MUC5AC,WT-A,5,Missense_Mutation,5,0,0,0,0,0,0,0,0
MUC5AC,G3-U,5,Missense_Mutation,5,0,0,0,0,0,0,0,0
MUC5AC,G3-A,5,Missense_Mutation,5,0,0,0,0,0,0,0,0
NBPF10,WT-U,4,Missense_Mutation,4,0,0,0,0,0,0,0,0
NBPF10,WT-A,5,Missense_Mutation,5,0,0,0,0,0,0,0,0
