chromosome,sample,call,Mb,pct,wmean_log2
chr1,WT-U,deletion,0.49,0.2,0.096
chr1,WT-U,loss,19.139,7.69,0.096
chr1,WT-U,neutral,178.028,71.52,0.096
chr1,WT-U,gain,51.199,20.57,0.096
chr1,WT-U,amplification,0.08,0.03,0.096
chr1,WT-A,deletion,0.49,0.2,0.0938
chr1,WT-A,loss,17.954,7.21,0.0938
chr1,WT-A,neutral,179.588,72.14,0.0938
chr1,WT-A,gain,50.824,20.42,0.0938
chr1,WT-A,amplification,0.08,0.03,0.0938
chr1,G3-U,deletion,0.49,0.2,0.0919
chr1,G3-U,loss,13.96,5.61,0.0919
chr1,G3-U,neutral,185.208,74.4,0.0919
chr1,G3-U,gain,49.199,19.76,0.0919
chr1,G3-U,amplification,0.08,0.03,0.0919
chr1,G3-A,deletion,0.49,0.2,0.076
chr1,G3-A,loss,25.304,10.16,0.076
chr1,G3-A,neutral,169.929,68.26,0.076
chr1,G3-A,gain,53.149,21.35,0.076
chr1,G3-A,amplification,0.065,0.03,0.076
chr2,WT-U,deletion,1.485,0.61,0.1716
chr2,WT-U,loss,17.106,7.07,0.1716
chr2,WT-U,neutral,93.784,38.74,0.1716
chr2,WT-U,gain,129.698,53.58,0.1716
chr2,WT-U,amplification,0.0,0.0,0.1716
chr2,WT-A,deletion,1.485,0.61,0.1682
chr2,WT-A,loss,15.95,6.59,0.1682
chr2,WT-A,neutral,94.881,39.19,0.1682
chr2,WT-A,gain,129.808,53.61,0.1682
chr2,WT-A,amplification,0.0,0.0,0.1682
chr2,G3-U,deletion,1.225,0.51,0.114
chr2,G3-U,loss,23.481,9.7,0.114
chr2,G3-U,neutral,117.494,48.53,0.114
chr2,G3-U,gain,99.923,41.27,0.114
chr2,G3-U,amplification,0.0,0.0,0.114
chr2,G3-A,deletion,1.655,0.68,0.109
chr2,G3-A,loss,22.875,9.45,0.109
chr2,G3-A,neutral,117.231,48.42,0.109
chr2,G3-A,gain,100.363,41.45,0.109
chr2,G3-A,amplification,0.0,0.0,0.109
chr3,WT-U,deletion,0.115,0.06,0.0245
chr3,WT-U,loss,37.081,18.71,0.0245
chr3,WT-U,neutral,132.546,66.87,0.0245
